"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1825582134192423301""","Tech tycoon Mike Lynch’s daughter and the yacht’s chef also among missing after boat sank off Sicilian coast - follow updates https://t.co/4EMdMb1yjs","Tweet","BBC Breaking News","BBCBreaking","19/8/2024, 10:44:33 pm","92","79","5","215","313152","19","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1825582134192423301","","","https://bbc.in/3YXn9YS"
"=""1825533558389199254""","UK tech entrepreneur Mike Lynch among those missing after luxury yacht sank off coast of Sicily https://t.co/ZsN0TfVvKA","Tweet","BBC Breaking News","BBCBreaking","19/8/2024, 7:31:31 pm","77","84","30","230","401180","24","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1825533558389199254","","","https://bbc.in/3MdsIuS"
"=""1825501579417424211""","""It was a disaster""

Captain who rescued survivors from Sicily yacht sinking says he saw a red flare, then a life raft with 15 people inside https://t.co/ms8rEEAGQk","Tweet","BBC Breaking News","BBCBreaking","19/8/2024, 5:24:27 pm","77","81","13","336","390060","28","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1825501579417424211","","","https://bbc.in/3M8e34d"
"=""1825454577753190438""","Seven missing after sailboat with mostly British passengers sinks off Italian coast https://t.co/cykvgp2yOk","Tweet","BBC Breaking News","BBCBreaking","19/8/2024, 2:17:41 pm","102","124","23","404","395753","19","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1825454577753190438","","","https://bbc.in/3SVlEXH"
"=""1825404856766537742""","Emergency move to ease prison overcrowding in England activated as more rioters set to be jailed https://t.co/2ZY3ssttHr","Tweet","BBC Breaking News","BBCBreaking","19/8/2024, 11:00:06 am","0","307","535","634","2037952","255","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1825404856766537742","","","https://bbc.in/3XbowCh"
"=""1825185095751221692""","Struggling fashion chain Ted Baker will close its remaining 31 stores by Tuesday, putting more than 500 jobs at risk https://t.co/C3RGQDMUaA","Tweet","BBC Breaking News","BBCBreaking","18/8/2024, 8:26:51 pm","205","233","66","643","534948","37","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1825185095751221692","","","https://bbc.in/3YOGVFV"
"=""1824443808701915247""","“Hannah had everything to live for” - mum of girl, 13, with dairy allergy who died after Costa drink speaks out as UK inquest finds “failures”
https://t.co/qPkmKAEOEj","Tweet","BBC Breaking News","BBCBreaking","16/8/2024, 7:21:15 pm","221","102","18","418","353045","26","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1824443808701915247","","","https://bbc.in/3X5Iuhr"
"=""1824416478239633425""","Man who admitted assaulting emergency worker during unrest in Blackpool, England, being sentenced - watch and follow live https://t.co/uWNuJWL4yp","Tweet","BBC Breaking News","BBCBreaking","16/8/2024, 5:32:39 pm","250","85","9","329","333676","11","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1824416478239633425","","","https://bbc.in/4dvyion"
"=""1824318346931704303""","Paetongtarn Shinawatra, 37, becomes Thailand's youngest-ever prime minister after vote in parliament
https://t.co/1oe786ElIS","Tweet","BBC Breaking News","BBCBreaking","16/8/2024, 11:02:42 am","131","985","74","1075","517019","65","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1824318346931704303","","","https://bbc.in/3X5Fl19"
"=""1824133498606592036""","Five charged over actor Matthew Perry's death last year, as police say ""broad criminal network"" of drug suppliers uncovered
https://t.co/O9lvJJJNrX","Tweet","BBC Breaking News","BBCBreaking","15/8/2024, 10:48:11 pm","121","179","49","586","440016","29","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1824133498606592036","","","https://bbc.in/4dlP0GL"
